kp_vlaues,Percentage Overshoot,Rise_time,steady_state_offset
0.0,0,0.0,10.0
0.1,0,0.0,10.0
0.2,0,0.0,7.5537295149924439
0.3,0,0.0,5.0354778254291377
0.4,0,0.0,3.7762426412670651
0.5,12.409859074714866,1.3827655310621243,3.0200276696194308
0.6,24.214732067208011,1.1422845691382766,2.5156158217197921
0.7,33.472645062335062,1.0220440881763526,2.1609882098018121
0.8,40.984818512410577,0.90180360721442887,1.8964345415113897
0.9,47.465881307733561,0.84168336673346689,1.6601005655079799
1.0,52.998934112843678,0.78156312625250501,1.5239904169640131
1.1,57.875489932333792,0.72144288577154303,1.3907649801505357
1.2,62.20777388489914,0.72144288577154303,1.1780231780372912
1.3,65.961640918607827,0.66132264529058116,1.3537744985232791
1.4,69.685938897805528,0.66132264529058116,0.69918187065603021
1.5,73.024805487037483,0.60120240480961917,1.7065786329113841
1.6,75.961467746987196,0.60120240480961917,0.27401820378024588
1.7,78.96568826697586,0.5410821643286573,2.8336058562431443
1.8,81.602216345620235,0.5410821643286573,1.7374736291042936
1.9,84.025511155421171,0.5410821643286573,2.6961648924100574
2.0,136.78887882118048,0.5410821643286573,3.9061271625275999
2.1,255.45745493305517,0.48096192384769537,17.144926216681728
2.2,446.74558107560551,0.48096192384769537,46.972453786033689
2.3,775.40445355936129,0.48096192384769537,77.540445355936129
2.4,1447.51563975524,0.48096192384769537,65.839011584703258
2.5,2415.6598122036157,0.48096192384769537,89.528420266528002
2.6,4785.6585081748217,0.42084168336673344,446.11500089641299
2.7,7846.4666439382572,0.42084168336673344,780.88559260538057
2.8,12734.867439607327,0.42084168336673344,293.83624333282086
2.9,26586.973693982956,0.42084168336673344,1923.9907671779799
